Number  Position  Material  Node1  Node2  Node3  Node4
356   9      1      339      384      385      340
357   9      1      384      429      430      385
358   9      1      429      474      475      430
359   9      1      474      519      520      475
360   9      1      519      564      565      520
361   9      1      564      609      610      565
362   9      1      609      654      655      610
363   9      1      654      699      700      655
364   9      1      699      744      745      700
365   9      1      744      789      790      745
366   9      1      789      834      835      790
367   9      1      834      879      880      835
368   9      1      879      924      925      880
369   9      1      924      969      970      925
370   9      1      969      1014      1015      970
371   9      1      1014      1059      1060      1015
372   9      1      1059      1104      1105      1060
373   9      1      1104      1149      1150      1105
374   9      1      1149      1194      1195      1150
375   9      1      1194      1239      1240      1195
376   9      1      1239      1284      1285      1240
377   9      1      1284      1329      1330      1285
378   9      1      1329      1374      1375      1330
379   9      1      1374      1419      1420      1375
380   9      1      1419      1464      1465      1420
381   9      1      1464      1509      1510      1465
382   9      1      1509      1554      1555      1510
383   9      1      1554      1599      1600      1555
384   9      1      1599      1644      1645      1600
385   9      1      205      250      251      206
386   9      1      250      295      296      251
387   9      1      295      340      341      296
388   9      1      340      385      386      341
389   9      1      385      430      431      386
390   9      1      430      475      476      431
391   9      1      475      520      521      476
392   9      1      520      565      566      521
393   9      1      565      610      611      566
394   9      1      610      655      656      611
395   9      1      655      700      701      656
396   9      1      700      745      746      701
397   9      1      745      790      791      746
398   9      1      790      835      836      791
399   9      1      835      880      881      836
400   9      1      880      925      926      881
401   9      1      925      970      971      926
402   9      1      970      1015      1016      971
403   9      1      1015      1060      1061      1016
404   9      1      1060      1105      1106      1061
405   9      1      1105      1150      1151      1106
406   9      1      1150      1195      1196      1151
407   9      1      1195      1240      1241      1196
408   9      1      1240      1285      1286      1241
409   9      1      1285      1330      1331      1286
410   9      1      1330      1375      1376      1331
411   9      1      1375      1420      1421      1376
412   9      1      1420      1465      1466      1421
413   9      1      1465      1510      1511      1466
414   9      1      1510      1555      1556      1511
415   9      1      1555      1600      1601      1556
416   9      1      1600      1645      1646      1601
417   9      1      206      251      252      207
418   9      1      251      296      297      252
419   9      1      296      341      342      297
420   9      1      341      386      387      342
421   9      1      386      431      432      387
422   9      1      431      476      477      432
423   9      1      476      521      522      477
424   9      1      521      566      567      522
425   9      1      566      611      612      567
426   9      1      611      656      657      612
427   9      1      656      701      702      657
428   9      1      701      746      747      702
429   9      1      746      791      792      747
430   9      1      791      836      837      792
431   9      1      836      881      882      837
432   9      1      881      926      927      882
433   9      1      926      971      972      927
434   9      1      971      1016      1017      972
435   9      1      1016      1061      1062      1017
436   9      1      1061      1106      1107      1062
437   9      1      1106      1151      1152      1107
438   9      1      1151      1196      1197      1152
439   9      1      1196      1241      1242      1197
440   9      1      1241      1286      1287      1242
441   9      1      1286      1331      1332      1287
442   9      1      1331      1376      1377      1332
443   9      1      1376      1421      1422      1377
444   9      1      1421      1466      1467      1422
445   9      1      1466      1511      1512      1467
446   9      1      1511      1556      1557      1512
447   9      1      1556      1601      1602      1557
448   9      1      1601      1646      1647      1602
449   9      1      207      252      253      208
450   9      1      252      297      298      253
451   9      1      297      342      343      298
452   9      1      342      387      388      343
453   9      1      387      432      433      388
454   9      1      432      477      478      433
455   9      1      477      522      523      478
456   9      1      522      567      568      523
457   9      1      567      612      613      568
458   9      1      612      657      658      613
459   9      1      657      702      703      658
460   9      1      702      747      748      703
461   9      1      747      792      793      748
462   9      1      792      837      838      793
463   9      1      837      882      883      838
464   9      1      882      927      928      883
465   9      1      927      972      973      928
466   9      1      972      1017      1018      973
467   9      1      1017      1062      1063      1018
468   9      1      1062      1107      1108      1063
469   9      1      1107      1152      1153      1108
470   9      1      1152      1197      1198      1153
471   9      1      1197      1242      1243      1198
472   9      1      1242      1287      1288      1243
473   9      1      1287      1332      1333      1288
474   9      1      1332      1377      1378      1333
475   9      1      1377      1422      1423      1378
476   9      1      1422      1467      1468      1423
477   9      1      1467      1512      1513      1468
478   9      1      1512      1557      1558      1513
479   9      1      1557      1602      1603      1558
480   9      1      1602      1647      1648      1603
481   9      1      208      253      254      209
482   9      1      253      298      299      254
483   9      1      298      343      344      299
484   9      1      343      388      389      344
485   9      1      388      433      434      389
486   9      1      433      478      479      434
487   9      1      478      523      524      479
488   9      1      523      568      569      524
489   9      1      568      613      614      569
490   9      1      613      658      659      614
491   9      1      658      703      704      659
492   9      1      703      748      749      704
493   9      1      748      793      794      749
494   9      1      793      838      839      794
495   9      1      838      883      884      839
496   9      1      883      928      929      884
497   9      1      928      973      974      929
498   9      1      973      1018      1019      974
499   9      1      1018      1063      1064      1019
500   9      1      1063      1108      1109      1064
501   9      1      1108      1153      1154      1109
502   9      1      1153      1198      1199      1154
503   9      1      1198      1243      1244      1199
504   9      1      1243      1288      1289      1244
505   9      1      1288      1333      1334      1289
506   9      1      1333      1378      1379      1334
507   9      1      1378      1423      1424      1379
508   9      1      1423      1468      1469      1424
509   9      1      1468      1513      1514      1469
510   9      1      1513      1558      1559      1514
511   9      1      1558      1603      1604      1559
512   9      1      1603      1648      1649      1604
513   9      1      209      254      255      210
514   9      1      254      299      300      255
515   9      1      299      344      345      300
516   9      1      344      389      390      345
517   9      1      389      434      435      390
518   9      1      434      479      480      435
519   9      1      479      524      525      480
520   9      1      524      569      570      525
521   9      1      569      614      615      570
522   9      1      614      659      660      615
523   9      1      659      704      705      660
524   9      1      704      749      750      705
525   9      1      749      794      795      750
526   9      1      794      839      840      795
527   9      1      839      884      885      840
528   9      1      884      929      930      885
529   9      1      929      974      975      930
530   9      1      974      1019      1020      975
531   9      1      1019      1064      1065      1020
532   9      1      1064      1109      1110      1065
533   9      1      1109      1154      1155      1110
534   9      1      1154      1199      1200      1155
535   9      1      1199      1244      1245      1200
536   9      1      1244      1289      1290      1245
537   9      1      1289      1334      1335      1290
538   9      1      1334      1379      1380      1335
539   9      1      1379      1424      1425      1380
540   9      1      1424      1469      1470      1425
541   9      1      1469      1514      1515      1470
542   9      1      1514      1559      1560      1515
543   9      1      1559      1604      1605      1560
544   9      1      1604      1649      1650      1605
545   9      1      210      255      256      211
546   9      1      255      300      301      256
547   9      1      300      345      346      301
548   9      1      345      390      391      346
549   9      1      390      435      436      391
550   9      1      435      480      481      436
551   9      1      480      525      526      481
552   9      1      525      570      571      526
553   9      1      570      615      616      571
554   9      1      615      660      661      616
555   9      1      660      705      706      661
556   9      1      705      750      751      706
557   9      1      750      795      796      751
558   9      1      795      840      841      796
559   9      1      840      885      886      841
560   9      1      885      930      931      886
561   9      1      930      975      976      931
562   9      1      975      1020      1021      976
563   9      1      1020      1065      1066      1021
564   9      1      1065      1110      1111      1066
565   9      1      1110      1155      1156      1111
566   9      1      1155      1200      1201      1156
567   9      1      1200      1245      1246      1201
568   9      1      1245      1290      1291      1246
569   9      1      1290      1335      1336      1291
